step,loss,loss/std,lr,momentum
1,339.4485168457031,520.877197265625,0.001,0.9
2,79.55598449707031,36.07428741455078,0.001,0.9
3,119.08922576904297,82.50401306152344,0.001,0.9
4,131.3995819091797,108.17623138427734,0.001,0.9
5,149.7653350830078,125.80361938476562,0.001,0.9
6,83.0875473022461,59.878379821777344,0.001,0.9
7,83.16553497314453,62.63429260253906,0.001,0.9
8,98.52932739257812,91.89801788330078,0.001,0.9
9,91.87787628173828,89.11380767822266,0.001,0.9
10,90.2474136352539,100.78417205810547,0.001,0.9
